customer_tenure_months,customer_age,gender,region,contract_type,payment_method,has_premium_plan,num_products_subscribed,has_online_support,has_loyalty_program,monthly_spend_eur,avg_monthly_data_gb,num_support_calls_last_6m,num_purchases_last_3m,days_since_last_purchase,return_rate_pct,promotion_response_rate,satisfaction_score,nps_score,churned
56,79,Male,North,Month-to-Month,Digital Wallet,1,1,1,1,30.21,4.3,0,1,2,3,0.461,3.1,6,0
28,64,Male,West,Month-to-Month,Bank Transfer,1,2,0,1,21.42,14.9,0,6,32,3.4,0.269,,9,1
39,62,Male,East,One Year,Credit Card,0,3,1,0,37.74,34.4,0,3,26,2,0.56,,4,0
3,58,Female,North,Two Year,Digital Wallet,0,3,1,0,57.4,6,2,4,23,2.3,0.376,3.2,1,0
45,27,Female,North,Month-to-Month,Bank Transfer,1,2,1,0,44.31,14.1,3,5,19,0.2,0.428,3.6,9,0
30,21,Female,West,Two Year,Invoice,0,2,1,0,18.23,42.3,3,5,23,31.4,0.068,,6,0
22,73,Female,South,One Year,Credit Card,0,2,1,0,72.03,9.4,4,2,42,6.5,0.196,4.3,6,0
14,20,Female,West,Month-to-Month,Credit Card,0,1,1,0,41.92,7.1,4,3,56,0.5,0.226,4.8,8,1
10,69,Male,Central,Month-to-Month,Digital Wallet,0,4,1,0,37.11,0.9,1,2,16,5.6,0.143,3.3,5,1
14,54,Female,South,Two Year,Bank Transfer,1,2,0,1,18.79,14.6,2,5,9,4.5,0.264,3.1,10,0
9,74,Female,East,Month-to-Month,Invoice,1,2,0,0,38.16,8.3,2,3,43,4.3,0.259,4.1,4,1
22,24,Female,Central,One Year,Credit Card,0,2,0,1,10.48,0.2,1,1,9,2,0.19,3.1,5,0
3,26,Male,South,One Year,Bank Transfer,1,4,1,1,17.31,0.3,2,4,25,13.7,0.112,2.3,7,0
17,54,Female,East,Two Year,Credit Card,0,3,0,1,53.39,3.4,0,3,32,8.6,0.175,4,6,0
7,43,Female,North,Month-to-Month,Digital Wallet,1,1,0,1,50.52,9.7,3,1,29,4.3,0.6,3.2,0,1
4,56,Female,Central,Month-to-Month,Bank Transfer,1,3,1,0,,16.9,2,4,25,0,0.623,4.3,5,1
3,52,Male,East,One Year,Digital Wallet,1,2,1,0,13.22,2.9,2,3,7,5.9,0.059,4.6,6,0
44,69,Female,Central,Month-to-Month,Bank Transfer,0,2,1,1,18.5,4.5,1,4,9,4.2,0.614,4.4,6,0
61,68,Male,East,Month-to-Month,Invoice,0,2,0,1,29.16,1,1,3,33,13.2,0.198,2.5,,0
13,31,Female,West,Month-to-Month,Digital Wallet,1,1,1,0,36.13,0.1,3,3,7,29.4,0.328,3.6,4,1
23,40,Male,West,Month-to-Month,Bank Transfer,0,3,0,0,78.53,3.7,3,3,44,10.6,0.162,5,7,1
1,49,Male,Central,Month-to-Month,Digital Wallet,0,1,1,1,12.39,10,1,3,23,2.1,0.147,4.2,9,1
5,29,Female,North,Month-to-Month,Credit Card,1,3,0,1,23.99,25.6,1,5,4,8.9,0.123,3.5,1,1
4,70,Female,East,Month-to-Month,Bank Transfer,1,3,1,1,72.09,7.3,1,8,4,5.1,0.352,4.1,4,1
4,74,Male,Central,Month-to-Month,Digital Wallet,1,4,1,0,41.81,10.8,1,1,6,0.9,0.397,5,7,0
54,77,Female,North,Two Year,Credit Card,0,3,1,0,115.25,24.5,1,4,1,7.3,0.251,3.1,5,0
12,79,Male,West,Two Year,Credit Card,0,3,1,1,7.38,2.3,0,2,39,22.9,0.194,5,3,0
8,35,Female,North,One Year,Credit Card,0,2,0,0,26.64,15,0,2,16,7.2,0.592,2.2,7,0
5,38,Male,West,One Year,Invoice,1,1,1,0,30.68,19.7,3,6,83,1,0.322,4.3,3,0
26,35,Male,East,Month-to-Month,Bank Transfer,0,1,1,1,60.81,8.7,2,4,28,1.8,0.211,1,8,1
13,72,Male,Central,Two Year,Credit Card,0,2,0,1,27.6,29.7,1,7,5,6.5,0.105,3.7,5,0
11,79,Female,Central,Two Year,Digital Wallet,0,2,1,0,33.01,7.1,0,2,9,17.7,0.168,3.7,3,0
14,27,Female,West,Month-to-Month,Invoice,0,3,1,1,254.43,17.6,0,2,10,23.9,0.103,4.3,1,1
114,27,Male,North,Month-to-Month,Bank Transfer,0,3,0,0,42.04,11.2,1,5,77,4.5,0.181,3.9,5,0
17,27,Female,West,Month-to-Month,Credit Card,1,1,0,0,48.18,12.6,0,0,10,6.7,0.1,4.6,7,0
7,66,Female,North,One Year,Credit Card,1,3,1,1,20.1,9.3,2,3,21,10,0.394,3.1,5,0
23,67,Male,South,Month-to-Month,Invoice,1,2,0,0,34.65,6.1,2,4,21,0.2,0.297,3,7,1
24,74,Male,North,One Year,Invoice,1,3,0,1,52.03,2.2,2,3,11,9.8,0.057,3.2,8,0
